Time,lng,lat,NPMLeft,NPMRight,HeadingAngle,TraceAngle,ShipSpeed,RudderAngle
9:41,119.675737,39.853165,36.000000,12.000000,280.346000,280.346000,6.964407,0.243486
9:41,119.675656,39.853176,44.000000,16.000000,279.757000,279.757000,6.993022,0.244478
9:41,119.675575,39.853187,44.000000,12.000000,279.256000,279.256000,6.992111,0.239758
9:41,119.675494,39.853199,56.000000,8.000000,278.826000,278.826000,6.998460,0.228392
9:41,119.675413,39.853211,32.000000,8.000000,278.842000,278.842000,7.002946,0.234260
9:41,119.675333,39.853222,20.000000,16.000000,279.288000,279.288000,6.941975,0.245552
9:41,119.675252,39.853233,16.000000,12.000000,279.604000,279.604000,6.913819,0.244323
9:41,119.675180,39.853242,4.000000,8.000000,279.657000,279.657000,6.859949,0.240856
9:41,119.675101,39.853253,12.000000,8.000000,279.406000,279.406000,6.833822,0.232818
9:41,119.675022,39.853263,24.000000,20.000000,279.165000,279.165000,6.855848,0.240840
9:41,119.674942,39.853274,16.000000,12.000000,278.911000,278.911000,6.910518,0.228096
9:41,119.674862,39.853283,24.000000,8.000000,278.317000,278.317000,6.934473,0.241913
9:41,119.674781,39.853292,52.000000,8.000000,277.796000,277.796000,6.987333,0.224417
9:41,119.674699,39.853301,44.000000,8.000000,277.283000,277.283000,7.062694,0.196325
9:41,119.674617,39.853310,48.000000,12.000000,276.702000,276.702000,7.086871,0.255254
9:41,119.674534,39.853319,52.000000,12.000000,276.450000,276.450000,7.102883,0.233670
9:41,119.674460,39.853325,20.000000,8.000000,276.131000,276.131000,7.081415,0.298197
9:41,119.674378,39.853332,48.000000,8.000000,275.637000,275.637000,7.033623,0.224360
9:41,119.674296,39.853338,40.000000,12.000000,275.355000,275.355000,7.009142,0.279932
9:41,119.674215,39.853344,16.000000,12.000000,274.938000,274.938000,7.027219,-1.576409
9:41,119.674132,39.853349,12.000000,12.000000,274.443000,274.443000,7.030820,-1.654260
9:41,119.674050,39.853355,32.000000,8.000000,274.460000,274.460000,7.041525,-1.641108
9:41,119.673969,39.853361,68.000000,16.000000,274.200000,274.200000,7.003524,-1.690704
9:41,119.673896,39.853367,12.000000,12.000000,274.412000,274.412000,6.997134,-1.658096
9:41,119.673814,39.853373,56.000000,8.000000,274.585000,274.585000,6.950029,-1.647123
9:41,119.673733,39.853379,8.000000,8.000000,275.056000,275.056000,6.920032,0.745703
9:41,119.673654,39.853385,20.000000,8.000000,275.429000,275.429000,6.845955,0.755985
9:41,119.673574,39.853391,24.000000,12.000000,275.106000,275.106000,6.800850,0.756239
9:41,119.673495,39.853395,56.000000,12.000000,274.536000,274.536000,6.770227,0.743939
9:41,119.673416,39.853399,16.000000,8.000000,274.037000,274.037000,6.758113,0.977694
9:41,119.673345,39.853404,96.000000,8.000000,273.697000,273.697000,6.790949,2.499276
9:41,119.673265,39.853407,56.000000,16.000000,273.036000,273.036000,6.808107,2.525951
9:41,119.673186,39.853409,44.000000,16.000000,272.040000,272.040000,6.842460,2.563057
9:41,119.673106,39.853412,40.000000,8.000000,271.287000,271.287000,6.875622,2.564475
9:41,119.673025,39.853414,92.000000,8.000000,270.701000,270.701000,6.892403,4.573773
9:41,119.672944,39.853415,44.000000,8.000000,270.137000,270.137000,6.892524,4.503641
9:41,119.672864,39.853415,20.000000,12.000000,269.590000,269.590000,6.874001,4.505788
9:41,119.672784,39.853414,28.000000,12.000000,268.659000,268.659000,6.834956,1.620216
9:41,119.672704,39.853411,52.000000,12.000000,268.229000,268.229000,6.866699,1.617223
9:41,119.672623,39.853409,24.000000,12.000000,267.721000,267.721000,6.948754,1.646751
9:41,119.672550,39.853407,32.000000,12.000000,266.985000,266.985000,7.021758,1.639229
9:41,119.672467,39.853405,16.000000,12.000000,266.991000,266.991000,7.106787,1.628379
9:41,119.672384,39.853404,28.000000,8.000000,266.995000,266.995000,7.113206,1.663935
9:41,119.672301,39.853402,32.000000,8.000000,267.265000,267.265000,7.055325,1.673919
9:41,119.672220,39.853399,16.000000,12.000000,268.021000,268.021000,6.995972,1.828073
9:41,119.672138,39.853397,12.000000,12.000000,268.237000,268.237000,6.941911,4.227125
9:41,119.672058,39.853394,92.000000,8.000000,268.116000,268.116000,6.897702,4.241916
9:41,119.671978,39.853391,28.000000,8.000000,268.067000,268.067000,6.915013,4.227797
9:41,119.671905,39.853388,68.000000,8.000000,267.868000,267.868000,6.919057,4.217390
9:41,119.671824,39.853385,24.000000,16.000000,267.392000,267.392000,6.891097,1.675932
9:41,119.671743,39.853382,20.000000,8.000000,267.351000,267.351000,6.889622,1.687389
9:42,119.671662,39.853379,40.000000,12.000000,266.969000,266.969000,6.895096,1.657970
9:42,119.671582,39.853374,16.000000,8.000000,266.439000,266.439000,6.883921,1.710589
9:42,119.671502,39.853371,8.000000,16.000000,266.570000,266.570000,6.914988,1.685734
9:42,119.671420,39.853367,56.000000,12.000000,266.712000,266.712000,6.929297,1.723349
9:42,119.671348,39.853365,28.000000,8.000000,267.238000,267.238000,6.883914,1.657798
9:42,119.671268,39.853361,12.000000,8.000000,267.878000,267.878000,6.860331,1.681416
9:42,119.671188,39.853358,48.000000,12.000000,268.078000,268.078000,6.842372,1.685153
9:42,119.671108,39.853355,44.000000,12.000000,267.956000,267.956000,6.847914,1.698068
9:42,119.671027,39.853351,16.000000,8.000000,267.455000,267.455000,6.927987,1.684915
9:42,119.670946,39.853348,16.000000,8.000000,267.182000,267.182000,6.993461,1.676335
9:42,119.670865,39.853346,24.000000,8.000000,267.412000,267.412000,6.962762,1.658117
9:42,119.670783,39.853345,48.000000,12.000000,268.216000,268.216000,6.908548,1.681498
9:42,119.670711,39.853344,24.000000,16.000000,269.201000,269.201000,6.859258,1.668075
9:42,119.670631,39.853342,16.000000,8.000000,269.728000,269.728000,6.802048,1.668811
9:42,119.670552,39.853340,24.000000,16.000000,269.780000,269.780000,6.786839,1.701445
9:42,119.670472,39.853339,40.000000,12.000000,269.890000,269.890000,6.804024,1.677531
